City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
171,Barra Patuca,15.8,-84.2833,79.16,71,1,9.75,HN,2021-03-14 22:45:01,clear sky
172,Atar,20.5169,-13.0499,75.07,22,0,9.01,MR,2021-03-14 22:40:26,clear sky
173,Cidreira,-30.1811,-50.2056,73.69,85,22,9.33,BR,2021-03-14 22:35:57,few clouds
174,Riviere-Au-Renard,48.9957,-64.3971,14.0,52,75,14.97,CA,2021-03-14 22:45:01,broken clouds
175,Palasa,18.7667,84.4167,71.37,66,0,5.08,IN,2021-03-14 22:45:02,clear sky
176,Jamestown,42.097,-79.2353,30.2,47,1,15.52,US,2021-03-14 22:34:13,clear sky
177,Fairbanks,64.8378,-147.7164,18.0,52,1,4.61,US,2021-03-14 22:45:03,clear sky
178,Tyumentsevo,53.3224,81.498,-1.37,96,100,6.55,RU,2021-03-14 22:45:04,overcast clouds
179,Sorland,67.667,12.6934,35.6,87,20,9.22,NO,2021-03-14 22:37:15,few clouds
180,Puerto Del Rosario,28.5004,-13.8627,64.4,77,20,3.44,ES,2021-03-14 22:45:04,few clouds
181,Menongue,-14.6585,17.691,64.42,94,77,4.07,AO,2021-03-14 22:38:11,broken clouds
182,Faya,18.3851,42.4509,62.6,41,0,2.68,SA,2021-03-14 22:45:05,clear sky
183,San Pedro,14.35,121.0167,78.8,83,40,2.3,PH,2021-03-14 22:45:05,scattered clouds
184,Port Hardy,50.6996,-127.4199,41.0,60,40,16.11,CA,2021-03-14 22:36:50,scattered clouds
185,Samarai,-10.6167,150.6667,83.66,70,87,5.14,PG,2021-03-14 22:36:46,overcast clouds
186,Saskylakh,71.9167,114.0833,-31.34,92,1,4.47,RU,2021-03-14 22:37:13,clear sky
187,Invermere,50.5167,-116.0354,46.71,80,100,7.78,CA,2021-03-14 22:45:06,overcast clouds
188,Sur,22.5667,59.5289,74.95,52,11,4.76,OM,2021-03-14 22:45:06,few clouds
189,Taoudenni,22.6783,-3.9836,74.46,29,0,14.12,ML,2021-03-14 22:37:31,clear sky
190,Tazovskiy,67.4667,78.7,-0.98,97,100,4.52,RU,2021-03-14 22:45:07,overcast clouds
191,Avera,33.194,-82.5271,80.6,39,40,4.61,US,2021-03-14 22:36:29,scattered clouds
